epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1204.66,1.23325,0.69526,0.00163,0.89587,0.8997,0.95341,0.74269,1.04567,0.539,0.00218,0.0005941,0.0005941,0.0005941
43,1231.39,1.19936,0.6636,0.00158,0.9059,0.8931,0.95497,0.7407,1.06059,0.51693,0.0022,0.0005842,0.0005842,0.0005842
44,1259.76,1.21133,0.66363,0.00157,0.91171,0.90814,0.96156,0.74484,1.03966,0.50662,0.00217,0.0005743,0.0005743,0.0005743
45,1288.74,1.18603,0.67005,0.00156,0.92241,0.91279,0.96452,0.74392,1.05398,0.49266,0.00223,0.0005644,0.0005644,0.0005644
46,1317.17,1.20832,0.6455,0.00159,0.90554,0.91244,0.96236,0.75332,1.02779,0.49919,0.00215,0.0005545,0.0005545,0.0005545
47,1345.72,1.23589,0.66666,0.00162,0.90711,0.91222,0.96331,0.74477,1.0425,0.48338,0.00221,0.0005446,0.0005446,0.0005446
48,1372.53,1.19231,0.64076,0.00157,0.90843,0.90241,0.95913,0.74788,1.04217,0.49197,0.00217,0.0005347,0.0005347,0.0005347
49,1401.31,1.16295,0.63498,0.00153,0.89738,0.91069,0.96201,0.74639,1.04672,0.49686,0.00219,0.0005248,0.0005248,0.0005248
50,1429.63,1.19689,0.64891,0.00158,0.90959,0.90583,0.96093,0.75221,1.01589,0.49597,0.00213,0.0005149,0.0005149,0.0005149
51,1458.16,1.2164,0.64846,0.00157,0.90644,0.92283,0.96216,0.75459,1.01492,0.47833,0.0021,0.000505,0.000505,0.000505
52,1486.37,1.17894,0.62126,0.00156,0.90645,0.90646,0.95889,0.74436,1.03498,0.49412,0.00214,0.0004951,0.0004951,0.0004951
53,1512.94,1.20773,0.62571,0.0016,0.91334,0.92764,0.96545,0.74748,1.05501,0.47263,0.00218,0.0004852,0.0004852,0.0004852
54,1541.32,1.19862,0.61967,0.00154,0.9099,0.91853,0.96221,0.75414,1.02352,0.48143,0.00216,0.0004753,0.0004753,0.0004753
55,1569.43,1.22599,0.60811,0.00159,0.90796,0.93649,0.96969,0.75828,1.01935,0.44935,0.00209,0.0004654,0.0004654,0.0004654
